         154236870 function calls (153809503 primitive calls) in 5977.022 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34026 2115.400    0.062 2115.400    0.062 C:\Users\liuha\Desktop\TBM_2.1\src\model\SIF.py:160(cal_rtm_sif)
   158788 1084.816    0.007 1086.582    0.007 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:553(matrix_power)
     5671  915.690    0.161 2291.757    0.404 C:\Users\liuha\Desktop\TBM_2.1\src\model\SIF.py:77(cal_sif_leaf)
    34026  677.159    0.020  943.991    0.028 C:\Users\liuha\Desktop\TBM_2.1\src\model\SIF.py:146(sif_canopy_matrix)
   124762  467.108    0.004  470.625    0.004 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:476(inv)
    11342  175.997    0.016 3352.864    0.296 C:\Users\liuha\Desktop\TBM_2.1\src\model\SIF.py:282(cal_canopy_sif)
   317576   86.618    0.000   91.201    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\twodim_base.py:156(eye)
    34026   85.565    0.003   85.565    0.003 C:\Users\liuha\Desktop\TBM_2.1\src\model\SIF.py:130(sif_leaf_matrix)
     1090   57.186    0.052 5953.592    5.462 C:\Users\liuha\Desktop\TBM_2.1\src\model\mod_class.py:83(dalecv2)
   974804   35.403    0.000   37.512    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\TIR.py:193(calc_netrad)
    53410   24.492    0.000   31.375    0.001 C:\Users\liuha\Desktop\TBM_2.1\src\model\RTM_Optical.py:239(hotspot_calculations_vec)
    26160   20.109    0.001  185.511    0.007 C:\Users\liuha\Desktop\TBM_2.1\src\model\Ebal.py:133(Ebal)
       52   17.868    0.344   18.467    0.355 C:\Users\liuha\Desktop\TBM_2.1\src\model\RTM_initial.py:513(volscatt_vec)
  3899216   16.467    0.000   16.467    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\resistance.py:11(calc_Psi_M)
5845937/5427350   15.332    0.000 1596.365    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    26160   12.303    0.000   58.726    0.002 C:\Users\liuha\Desktop\TBM_2.1\src\model\RTM_Optical.py:12(rtm_o)
   707691   11.536    0.000   11.536    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   359288    8.648    0.000   15.112    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:391(_basic_simpson)
  4003856    8.359    0.000    8.359    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\Ebal_pars.py:27(calc_delta_vapor_pressure)
  2001928    7.242    0.000   15.464    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\Ebal.py:67(calc_veg_fluxes)
5016318/5016317    5.999    0.000    5.999    0.000 {built-in method numpy.array}
  4082336    5.867    0.000    5.867    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\Ebal_pars.py:9(calc_vapor_pressure)
   558637    4.709    0.000    4.709    0.000 {built-in method numpy.zeros}
  1866271    4.690    0.000    4.690    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\PhotoSynth_Jen.py:228(sel_root)
  2146770    4.163    0.000   16.818    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:928(__getitem__)
  2001928    4.012    0.000   11.720    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\Ebal.py:103(calc_soil_fluxes)
   209280    3.342    0.000    7.230    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\RTM_initial.py:619(volscatt_solar)
  1000964    3.202    0.000    3.538    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\hydraulics.py:55(calc_soil_moisture)
   974804    2.955    0.000    2.955    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\resistance.py:128(calc_R_S_Choudhury)
 11305786    2.919    0.000    2.919    0.000 {built-in method builtins.max}
  1595187    2.856    0.000    6.890    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\PhotoSynth_Jen.py:158(Compute_A)
    26160    2.736    0.000    2.736    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\RTM_Optical.py:190(hotspot_calculations)
   974804    2.593    0.000    2.593    0.000 C:\Users\liuha\Desktop\TBM_2.1\src\model\resistance.py:92(calc_R_x_Choudhury)
