         119430897 function calls (118987217 primitive calls) in 2622.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18402 1542.517    0.084 1542.517    0.084 C:\Users\liuha\Desktop\TBM_1.0\src\model\SIF.py:141(cal_rtm_sif)
    18402  432.856    0.024  593.929    0.032 C:\Users\liuha\Desktop\TBM_1.0\src\model\SIF.py:127(sif_canopy_matrix)
     6134  106.662    0.017 2303.913    0.376 C:\Users\liuha\Desktop\TBM_1.0\src\model\SIF.py:274(cal_canopy_sif)
    18406   83.886    0.005   84.619    0.005 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:476(inv)
    18402   55.252    0.003   55.252    0.003 C:\Users\liuha\Desktop\TBM_1.0\src\model\SIF.py:111(sif_leaf_matrix)
    18409   49.723    0.003   49.973    0.003 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:553(matrix_power)
   976171   37.995    0.000   40.156    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\TIR.py:193(calc_netrad)
     1095   35.495    0.032 2595.807    2.371 C:\Users\liuha\Desktop\TBM_1.0\src\model\mod_class.py:83(dalecv2)
    53655   26.239    0.000   33.847    0.001 C:\Users\liuha\Desktop\TBM_1.0\src\model\RTM_Optical.py:239(hotspot_calculations_vec)
    73616   24.299    0.000   26.076    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\twodim_base.py:156(eye)
       65   20.492    0.315   21.204    0.326 C:\Users\liuha\Desktop\TBM_1.0\src\model\RTM_initial.py:513(volscatt_vec)
    26280   18.477    0.001  183.198    0.007 C:\Users\liuha\Desktop\TBM_1.0\src\model\Ebal.py:102(Ebal)
  3904684   18.354    0.000   18.354    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\resistance.py:11(calc_Psi_M)
    26280   14.258    0.001   65.438    0.002 C:\Users\liuha\Desktop\TBM_1.0\src\model\RTM_Optical.py:12(rtm_o)
  3904684   12.926    0.000   29.818    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\Ebal.py:66(heatfluxes)
   364432    9.488    0.000   16.470    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:391(_basic_simpson)
  3904684    8.847    0.000    8.847    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\Ebal_pars.py:27(calc_delta_vapor_pressure)
   650518    6.369    0.000    6.369    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  3930964    6.204    0.000    6.204    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\Ebal_pars.py:9(calc_vapor_pressure)
4743877/4743672    5.947    0.000    5.948    0.000 {built-in method numpy.array}
  1409839    4.959    0.000    8.776    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\PhotoSynth.py:60(Compute_A)
5577280/5148733    4.674    0.000  158.363    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1632551    4.514    0.000    4.514    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\PhotoSynth.py:127(sel_root)
   211808    3.702    0.000    8.168    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\RTM_initial.py:619(volscatt_solar)
   976171    3.227    0.000    3.227    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\resistance.py:128(calc_R_S_Choudhury)
  1376564    3.115    0.000    3.115    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\PhotoSynth.py:162(arrh)
    26476    3.030    0.000    3.030    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\RTM_Optical.py:190(hotspot_calculations)
  1155702    2.888    0.000   11.516    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:928(__getitem__)
   976171    2.819    0.000    2.819    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\resistance.py:92(calc_R_x_Choudhury)
    26280    2.792    0.000    2.846    0.000 C:\Users\liuha\Desktop\TBM_1.0\src\model\TIR.py:56(calc_ebal_canopy_pars)
        5    2.789    0.558   23.992    4.798 C:\Users\liuha\Desktop\TBM_1.0\src\model\RTM_initial.py:356(weighted_sum_over_lidf_vec)
