clab,cf,cr,cw,cl,cs,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,Vcmax25,BallBerrySlope,Cab,Car,Cbrown,Cw,Ant
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,875.283203125,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,635.517578125,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,15049.8046875,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,444.091796875,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,45956.0546875,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.400947265625,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,2.73052548828125,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.0009076416015625001,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0006982723632812499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.041916015625,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,327.67578125,0.09948242187499999,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.477509765625,30,300.0,50,149.775390625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,353.916015625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,258.466796875,954.560546875,29762.6953125,463.427734375,56977.5390625,0.0011,0.58,0.310986328125,0.457,4.636727832031251,0.00039348144531250003,0.00672,0.001,0.0009150475585937499,0.078607421875,316.30078125,0.09948242187499999,30,300.0,50,149.775390625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
12.900390625,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,258.466796875,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,954.560546875,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,29762.6953125,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,463.427734375,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,56977.5390625,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.310986328125,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,4.636727832031251,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.00039348144531250003,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0009150475585937499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.078607421875,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,316.30078125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.09948242187499999,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,149.775390625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,25.87890625,10.0,40.71,7.69,0.4,0.01,0.001
826.943359375,875.283203125,635.517578125,15049.8046875,444.091796875,45956.0546875,0.0011,0.58,0.400947265625,0.457,2.73052548828125,0.0009076416015625001,0.00672,0.001,0.0006982723632812499,0.041916015625,327.67578125,0.477509765625,30,300.0,50,353.916015625,51.85546875,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
331.943359375,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,380.283203125,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,140.517578125,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,28549.8046875,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,939.091796875,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,95456.0546875,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.155947265625,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,4.73047548828125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0004201416015625,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00019832236328125,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.072916015625,134.30078125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,145.67578125,0.344482421875,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.232509765625,30,300.0,50,344.775390625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,158.916015625,75.87890625,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,753.466796875,459.560546875,16262.6953125,958.427734375,7477.5390625,0.0011,0.58,0.065986328125,0.457,2.63677783203125,0.0008809814453125001,0.00672,0.001,0.00041509755859375,0.047607421875,134.30078125,0.344482421875,30,300.0,50,344.775390625,1.85546875,10.0,40.71,7.69,0.4,0.01,0.001
507.900390625,380.283203125,140.517578125,28549.8046875,939.091796875,95456.0546875,0.0011,0.58,0.155947265625,0.457,4.73047548828125,0.0004201416015625,0.00672,0.001,0.00019832236328125,0.072916015625,145.67578125,0.232509765625,30,300.0,50,158.916015625,1.85546875,10.0,40.71,7.69,0.4,0.01,0.001
